Source:,"EM-DAT, CRED / UCLouvain, Brussels, Belgium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,www.emdat.be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:,2023-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File creation:,"Tue, 08 Aug 2023 10:00:06 CEST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table type:,Custom request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of records:,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1911-0018-CAN,1911,0018,,Natural,Climatological,Wildfire,Forest fire,,,Canada,CAN,Northern America,Americas,"Cochrane (and Northern Region), Ontario",,,,,,,,1294994,Km2,,,,,1911,7,11,1911,7,11,73,,,200,200,,,,,,,3.190974538,,,,
1922-0011-CAN,1922,0011,,Natural,Climatological,Wildfire,Forest fire,,,Canada,CAN,Northern America,Americas,"Haileybury, Ontario",,,,,,,,5179,Km2,,,,,1922,9,30,1922,9,30,43,,,11000,11000,,,,,8000,139559,5.732357831,,,,
1931-9014-CAN,1931,9014,,Natural,Climatological,Drought,Drought,,,Canada,CAN,Northern America,Americas,"Prairie provinces, Western Canada",,Heat wave,,,No,No,,,Km2,,,,,1931,1,,1940,,,,,25000,,25000,,,,,,,5.208126299,,,,
1961-9040-CAN,1961,9040,,Natural,Climatological,Drought,Drought,,,Canada,CAN,Northern America,Americas,Western Canada,,,,,,,,,Km2,,,,,1961,1,,1961,,,,,,,,,,,,,,10.21396373,,,,
1977-9294-CAN,1977,9294,,Natural,Climatological,Drought,Drought,,,Canada,CAN,Northern America,Americas,Prairie provinces,,,,,No,No,,,Km2,,,,,1977,1,,1980,,,,,,,,,,,,3000000,14485873,20.7098325,,,,
1980-0211-CAN,1980,0211,,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,Canada,CAN,Northern America,Americas,"Red Lake, Ontario",,,,,,,,436,Km2,,,,,1980,6,,1980,6,,,,5000,,5000,,,,,,,28.15888663,,,,
1984-9211-CAN,1984,9211,,Natural,Climatological,Drought,Drought,,,Canada,CAN,Northern America,Americas,"Quebec, Prince Edouard Islands, Alberta, Saskatchewan, Manitoba, Ontario provinces",,,,,,,,,Km2,,,,,1984,1,,1985,3,,,,30000,,30000,,,,,1000000,2817149,35.49688113,,,,
1985-0077-CAN,1985,0077,,Natural,Climatological,Wildfire,Forest fire,,,Canada,CAN,Northern America,Americas,Northeast of Vancouver,,,,,,,,2023,Km2,,,,,1985,7,,1985,7,,,,,,,,,,,,,36.75546794,,,,
1986-0188-CAN,1986,0188,,Natural,Climatological,Wildfire,Forest fire,,,Canada,CAN,Northern America,Americas,"Grand Falls, Newfoundland",,,,,,,,,Km2,,,,,1986,5,15,1986,5,15,,,1000,,1000,,,,,,,37.45311166,,,,
1986-0242-CAN,1986,0242,,Natural,Climatological,Wildfire,Forest fire,,,Canada,CAN,Northern America,Americas,"George Town & Burton, New Brunswick",,,,,,,,,Km2,,,,,1986,5,15,1986,5,15,,,1000,,1000,,,,,,,37.45311166,,,,
1988-9638-CAN,1988,9638,,Natural,Climatological,Drought,Drought,,,Canada,CAN,Northern America,Americas,"British Columbia, Ontario",,,,,,,,,Km2,,,,,1988,1,,1988,,,,,,,,,,,,810000,2004514,40.40880605,,,,
1989-0280-CAN,1989,0280,,Natural,Climatological,Wildfire,Forest fire,,,Canada,CAN,Northern America,Americas,"Entire country, especillay Labrador",,,,,No,No,,20000,Km2,,,,,1989,1,,1989,8,,1,,25000,,25000,,,,,4200000,9915168,42.35934309,,,,
1992-0503-CAN,1992,0503,,Natural,Climatological,Wildfire,Forest fire,,,Canada,CAN,Northern America,Americas,Britsh Columbia province,,,,,,,,,Km2,,,,,1992,7,,1992,7,,,,,,,,,,,120000,250281,47.94612964,,,,
1994-0170-CAN,1994,0170,,Natural,Climatological,Wildfire,Forest fire,,,Canada,CAN,Northern America,Americas,British Columbia,,,,,,,,59,Km2,,,,,1994,7,24,1994,7,24,,,3000,,3000,,,,,,,50.64840266,,,,
1995-0098-CAN,1995,0098,,Natural,Climatological,Wildfire,Forest fire,,,Canada,CAN,Northern America,Americas,Saskatchewan (British Colombia),,,,,No,No,,1000,Km2,,,,,1995,6,1,1995,6,30,,,1500,,1500,,,,,89500,171886,52.06929869,,,,
1995-0135-CAN,1995,0135,,Natural,Climatological,Wildfire,Forest fire,,,Canada,CAN,Northern America,Americas,Ontario,,,,,,,,2210,Km2,,,,,1995,6,24,1995,6,24,,,5000,,5000,,,,,,,52.06929869,,,,
1997-0119-CAN,1997,0119,,Natural,Climatological,Wildfire,Forest fire,,,Canada,CAN,Northern America,Americas,Quebec,,,,,,,,,Km2,,,,,1997,5,29,1997,5,29,,,1600,,1600,,,,,,,54.84845417,,,,
1998-0123-CAN,1998,0123,,Natural,Climatological,Wildfire,Forest fire,,,Canada,CAN,Northern America,Americas,"Alberta, British Columbia",,,,,,,,1900,Km2,,,,,1998,5,2,1998,5,2,,,8000,,8000,,,,,,,55.69986281,,,,
1999-0145-CAN,1999,0145,,Natural,Climatological,Wildfire,Forest fire,,,Canada,CAN,Northern America,Americas,"Manitoba, Ontario",,,,,,,,80,Km2,,,,,1999,3,5,1999,3,5,,,1500,,1500,,,,,,,56.91858704,,,,
2001-0340-CAN,2001,0340,,Natural,Climatological,Wildfire,Forest fire,,,Canada,CAN,Northern America,Americas,Alberta province,,,,,,,,,Km2,,,,,2001,5,28,2001,5,28,,,1200,,1200,,,,,,,60.50357889,1,825,,Alberta (Adm1).
2002-0409-CAN,2002,0409,,Natural,Climatological,Wildfire,Forest fire,,,Canada,CAN,Northern America,Americas,"Lac-Saint-Jean-Est, Le Domaine-du-Roy, Le Saguenay-et-son-Fjord, Maria-Chapdelaine, Nord-du-Québec districts (Quebec / Québec province)",,,,,,,,2670,Km2,,,,,2002,7,,2002,7,,,,600,,600,,,,,,,61.46318826,2,,12739;12744;12745;12766;12776,"Lac-Saint-Jean-Est, Le Domaine-du-Roy, Le Saguenay-et-son-Fjord, Maria-Chapdelaine, Nord-du-Québec (Adm2)."
2003-0369-CAN,2003,0369,,Natural,Climatological,Wildfire,Forest fire,,,Canada,CAN,Northern America,Americas,"British Columbia, Alberta, Saskatchewan, Manitoba provinces",,,,,,,,2500,Km2,,,,,2003,8,1,2003,9,14,1,,,,,,,155000,246586,545000,867027,62.8584595,1,825;826;827;836,,"Alberta, British Columbia / Colombie-Britannique, Manitoba, Saskatchewan (Adm1)."
2005-0383-CAN,2005,0383,,Natural,Climatological,Wildfire,Forest fire,,,Canada,CAN,Northern America,Americas,Québec province,,,,,,,,4000,Km2,,,,,2005,7,,2005,7,,,,,,,,,,,,,66.73105799,1,835,,Quebec / Québec (Adm1).
2005-0460-CAN,2005,0460,,Natural,Climatological,Wildfire,Forest fire,,,Canada,CAN,Northern America,Americas,Ontario province,Dry wetaher and heat wave,,,,,,,275,Km2,,,,,2005,8,,2005,8,,,,,,,,,,,,,66.73105799,1,833,,Ontario (Adm1).
2011-0630-CAN,2011,0630,,Natural,Climatological,Wildfire,Forest fire,,,Canada,CAN,Northern America,Americas,"Slave Lake area (Division No. 17 district, Alberta province)","Dry conditions, strong winds",,,,,,,,Km2,,,,,2011,5,14,2011,5,16,1,,,7000,7000,,,720000,936749,1500000,1951560,76.86159538,2,,12536,Division No. 17 (Adm2).
2015-0275-CAN,2015,0275,,Natural,Climatological,Wildfire,Forest fire,,,Canada,CAN,Northern America,Americas,"Saskatchewan, Alberta, British Columbia provinces","Hot, dry and windy conditions",,,,,,,,Km2,,,,,2015,7,1,2015,7,10,,,13000,36,13036,,,,,,,80.98857899,1,825;826;836,,"Alberta, British Columbia / Colombie-Britannique, Saskatchewan (Adm1)."
2016-0172-CAN,2016,0172,,Natural,Climatological,Wildfire,Forest fire,,Fort McMurray wildfires,Canada,CAN,Northern America,Americas,"Fort McMurray city (Wood Buffalo area, Division No. 16 district, Alberta province)",,Explosion,,Yes,,,,6000,Km2,,,,,2016,5,1,2016,7,4,,,88000,,88000,,,2900000,3536140,4000000,4877434,82.0103309,2,,12535,Division No. 16 (Adm2).
2017-0271-CAN,2017,0271,,Natural,Climatological,Wildfire,,,"Gustafsen, Wildwood, Elephant Hill Fires",Canada,CAN,Northern America,Americas,"Cache Creek , Ashcroft, Boston flats (Thompson Nicola), 100 Mile House , Williams Lake (Cariboo) (British Columbia)",Weather,Heat wave,,,Yes,Yes,,500,Km2,,,,,2017,7,7,2017,9,15,,,43441,,43441,78000,93126,,,,,83.75725455,2,,12542;12566,"Cariboo, Thompson-Nicola (Adm2)."
2018-0299-CAN,2018,0299,,Natural,Climatological,Wildfire,Forest fire,,,Canada,CAN,Northern America,Americas,Colombie-Britannique,,Pollution,,,,Yes,,,Km2,,,,,2018,7,,2018,8,,,,3000,,3000,,,,,,,85.80302606,1,826,,British Columbia / Colombie-Britannique (Adm1).
2021-0367-CAN,2021,0367,,Natural,Climatological,Wildfire,,,,Canada,CAN,Northern America,Americas,Lytton (British Columbia),,Heat wave,,,,,,,Km2,,,,,2021,6,30,2021,7,2,2,,250,,250,,,,,80912,87387,92.59019293,1,826,,British Columbia / Colombie-Britannique (Adm1).
2023-0280-CAN,2023,0280,,Natural,Climatological,Wildfire,Forest fire,,,Canada,CAN,Northern America,Americas,"Alberta, British Columbia, Nova Scotia, Ontario, Québec, Saskatchewan",Dry conditions and high winds,Heat wave,Pollution,,,Yes,,,Km2,,,,,2023,5,6,2023,7,,2,,30000,,30000,,,100000,,200000,,,1,825;826;831;833;835;836,,"Alberta, British Columbia / Colombie-Britannique, Nova Scotia / Nouvelle-écosse, Ontario, Quebec / Québec, Saskatchewan (Adm1)."
